%ID	Proteina	Grasa	Humedad	TBVN	Histamina
400.0	1.1328	1.0628	1.4187	1.1746	1.0654
402.1	1.3192	1.0654	1.3027	1.094	1.0104
404.2	1.1673	1.0002	1.1423	1.1019	0.95052
406.3	1.2647	1.1325	1.1635	1.1823	1.0078
408.4	1.1429	1.063	1.1603	1.152	1.029
410.5	1.0776	1.0999	1.22	1.085	1.1447
412.6	1.1016	1.0767	1.2003	1.0486	1.0681
414.6	1.1989	1.0498	1.2145	1.0879	1.071
416.7	1.2492	1.217	1.2007	1.1287	1.136
418.8	1.1884	1.2678	1.1628	1.1546	1.1305
420.9	1.2306	1.2664	1.2439	1.1656	1.1501
423.0	1.2113	1.2075	1.2022	1.1476	1.1493
425.1	1.1753	1.3586	1.0923	1.168	1.152
427.2	1.1116	1.2147	1.0075	1.1281	1.146
429.3	1.2125	1.3195	0.99702	1.1398	1.127
431.4	1.1491	1.2743	1.0494	1.1466	1.0976
433.5	1.0641	1.2501	1.0252	1.0994	1.0734
435.6	1.0295	1.2826	1.0212	1.104	1.1052
437.7	1.0449	1.318	1.0448	1.1171	1.1167
439.7	1.0494	1.244	1.0111	1.0869	1.0649
441.8	1.043	1.1333	1.0224	1.0884	1.0251
443.9	1.0616	1.0579	1.0327	1.0746	1.006
446.0	1.0248	1.0155	1.0011	1.0406	1.0192
448.1	0.99937	0.99845	0.99535	1.0149	0.97665
450.2	1.0089	0.99619	0.97814	1.0116	0.95751
452.3	0.96896	0.99917	0.93678	0.99364	0.92927
454.4	0.95806	1.0043	0.89804	0.97378	0.91405
456.5	0.97779	1.0383	0.90142	0.96673	0.914
458.6	0.98681	1.0753	0.92959	0.97155	0.93542
460.7	0.96927	1.0751	0.9257	0.96423	0.93097
462.8	0.94043	1.0234	0.90636	0.95889	0.9103
464.9	0.90558	0.99932	0.90173	0.94821	0.89858
466.9	0.88673	0.99423	0.88534	0.94669	0.88898
469.0	0.90315	0.98383	0.90222	0.94899	0.8871
471.1	0.8791	0.98002	0.90942	0.94126	0.88425
473.2	0.88196	0.96846	0.96464	0.93872	0.88498
475.3	0.88531	0.96331	0.98159	0.93891	0.89913
477.4	0.89992	0.95805	1.0137	0.94752	0.89858
479.5	0.90249	0.97364	0.97762	0.94024	0.88749
481.6	0.85933	0.94676	0.9889	0.92863	0.87799
483.7	0.85573	0.94862	0.98878	0.9236	0.88298
485.8	0.86575	0.97873	1.0158	0.91792	0.87098
487.9	0.86493	0.99889	1.0406	0.91088	0.85906
490.0	0.87828	0.99383	1.0452	0.90887	0.83664
492.1	0.90106	0.96927	1.0901	0.90693	0.83039
494.1	0.90543	0.9587	1.0944	0.90799	0.82836
496.2	0.87226	0.91197	1.0749	0.89755	0.82676
498.3	0.84621	0.87118	1.0427	0.88612	0.82279
500.4	0.85556	0.85989	1.0512	0.8869	0.8266
502.5	0.86313	0.83665	1.0758	0.8854	0.82732
504.6	0.87692	0.84034	1.0952	0.8827	0.83716
506.7	0.88465	0.83756	1.1012	0.88425	0.82928
508.8	0.90515	0.85787	1.1115	0.89403	0.82594
510.9	0.93036	0.89043	1.1114	0.90115	0.82648
513.0	0.95323	0.90676	1.1276	0.90241	0.83985
515.1	0.94576	0.88887	1.1193	0.89123	0.84293
517.2	0.93308	0.86386	1.1046	0.88226	0.83484
519.2	0.92492	0.83848	1.0864	0.87415	0.83663
521.3	0.92543	0.80832	1.078	0.86682	0.83434
523.4	0.90743	0.79254	1.0673	0.85584	0.81121
525.5	0.91361	0.7972	1.0409	0.85315	0.81823
527.6	0.91625	0.81791	1.0325	0.8518	0.82737
529.7	0.91681	0.80351	1.0313	0.84414	0.81927
531.8	0.92422	0.7806	1.0355	0.8331	0.81072
533.9	0.9345	0.75478	1.0374	0.83223	0.82364
536.0	0.92802	0.73833	1.0399	0.8292	0.82258
538.1	0.93891	0.75451	1.0413	0.83163	0.8298
540.2	0.90295	0.721	1.0208	0.82797	0.81971
542.3	0.87422	0.73601	0.97442	0.8351	0.82791
544.4	0.84119	0.74593	0.93351	0.83254	0.81821
546.4	0.82342	0.72483	0.91791	0.81847	0.80332
548.5	0.81505	0.69799	0.90481	0.80438	0.79123
550.6	0.80441	0.68594	0.89951	0.7967	0.78457
552.7	0.82029	0.6897	0.88313	0.79352	0.80616
554.8	0.80459	0.70363	0.88022	0.79887	0.8329
556.9	0.754	0.71907	0.86542	0.81317	0.85325
559.0	0.77195	0.73519	0.88672	0.81569	0.86608
561.1	0.79223	0.74284	0.91489	0.81549	0.88694
563.2	0.75474	0.72346	0.88647	0.80135	0.84638
565.3	0.74407	0.71211	0.86982	0.79704	0.81581
567.4	0.72314	0.70172	0.86401	0.80356	0.80769
569.5	0.76639	0.71546	0.93462	0.79742	0.81266
571.5	0.77821	0.72872	0.9561	0.78582	0.80459
573.6	0.76962	0.70537	0.92295	0.77684	0.76655
575.7	0.77945	0.70705	0.90045	0.76707	0.74605
577.8	0.76935	0.68785	0.94473	0.75505	0.7476
579.9	0.79482	0.69693	0.97722	0.75343	0.73416
582.0	0.78308	0.69811	1.0035	0.75539	0.74125
584.1	0.7938	0.69934	1.0156	0.75221	0.71028
586.2	0.77648	0.69185	1.0172	0.75425	0.7015
588.3	0.7153	0.67391	0.96885	0.72704	0.64783
590.4	0.67606	0.68704	0.95451	0.72177	0.60273
592.5	0.68681	0.72632	0.96321	0.73514	0.60635
594.6	0.7609	0.82218	1.064	0.7781	0.64392
596.7	0.81653	0.85605	1.1417	0.8049	0.66816
598.7	0.82961	0.87851	1.1613	0.80951	0.68188
600.8	0.82447	0.88724	1.1123	0.80648	0.68951
602.9	0.8366	0.88286	1.0889	0.80233	0.67526
605.0	0.79175	0.87734	1.0913	0.79492	0.68256
607.1	0.77641	0.88067	1.0949	0.79701	0.68416
609.2	0.79142	0.90406	1.1007	0.80101	0.6907
