%ID	PROTEINA	BandaLogInv1	BandaLogInv2	BandaLogInv3	BandaLogInv4	BandaLogInv5	BandaLogInv6	BandaLogInv7	BandaLogInv8	BandaLogInv9	BandaLogInv10	BandaLogInv11	BandaLogInv12	BandaLogInv13	BandaLogInv14	BandaLogInv15	BandaLogInv16	BandaLogInv17	BandaLogInv18	BandaLogInv19	BandaLogInv20	BandaLogInv21	BandaLogInv22	BandaLogInv23	BandaLogInv24	BandaLogInv25
1	68.46	2.500061047	2.621791989	2.725528197	2.816695997	2.896588252	2.956021308	3.006890086	3.045868281	3.072982125	3.072266941	3.048046627	3.027047966	2.996891251	2.965579843	2.928710335	2.886850318	2.84408914	2.797846897	2.751243615	2.707053502	2.664347776	2.623413597	2.583493981	2.545532879	2.507787166
2	67.75	2.337475954	2.447040379	2.543828148	2.628386464	2.702363357	2.760305364	2.808876786	2.844317881	2.869724004	2.867424348	2.843324853	2.821408324	2.792558485	2.762225239	2.726756066	2.686271878	2.645282301	2.601319936	2.558775049	2.519312651	2.48159456	2.443999014	2.40756397	2.373159957	2.340632277
3	67.77	2.514892357	2.636907896	2.74589897	2.836003932	2.916728159	2.980034128	3.027057606	3.070568316	3.098312325	3.096064665	3.072888844	3.049228525	3.019847816	2.989721698	2.952619707	2.912587066	2.871748206	2.826459061	2.782295776	2.742782909	2.703727612	2.666911237	2.631372654	2.596775744	2.563049193
4	67.59	2.167856636	2.271374666	2.365099194	2.456000938	2.519191858	2.565631335	2.607605989	2.648371105	2.679109856	2.680092036	2.660547947	2.637090219	2.612650548	2.582186195	2.549292402	2.509776734	2.460170487	2.412892973	2.36907754	2.328260138	2.290216199	2.251934984	2.207373359	2.168056681	2.133727871
5	70.18	2.421238929	2.541356493	2.644889554	2.735772326	2.813042248	2.872929851	2.922312175	2.964074315	2.988292618	2.987311463	2.966548737	2.94277117	2.912654309	2.880278378	2.843457752	2.80309935	2.759855928	2.714432043	2.670241281	2.628535378	2.589563503	2.550883021	2.51354694	2.478526732	2.444363447
6	66.72	2.336469094	2.449159781	2.548040527	2.633339967	2.708614406	2.766231654	2.816963772	2.852907195	2.878336824	2.876592795	2.85521374	2.832695644	2.802559838	2.77182878	2.735847403	2.69608314	2.654506601	2.608495259	2.565135096	2.521720082	2.480675522	2.441258975	2.4033259	2.366823567	2.331887844
7	66.79	2.137657908	2.238963973	2.33463875	2.425802886	2.492605072	2.540242116	2.581011013	2.623051637	2.656757913	2.659501682	2.642569761	2.621800796	2.597756657	2.569558006	2.539301773	2.499674655	2.451615896	2.403850925	2.359463944	2.318374402	2.280330211	2.24165731	2.195887112	2.156745071	2.122353264
8	66.17	2.450886011	2.583170367	2.689795478	2.791618604	2.872378845	2.943489296	3.000244689	3.049206004	3.07689777	3.080979631	3.06330993	3.041956412	3.013634741	2.983419887	2.946339115	2.904500938	2.86166601	2.813543477	2.765025963	2.720177752	2.675347322	2.633486575	2.59291441	2.553858451	2.51694376
9	69.95	2.479307111	2.597083671	2.705715732	2.808626367	2.886596206	2.944729303	2.996682233	3.039365018	3.073128161	3.069647869	3.050984985	3.025349888	2.994268561	2.957519764	2.91969836	2.878071718	2.827099452	2.777807785	2.730646659	2.685793006	2.643528368	2.601468009	2.556124972	2.51644574	2.479898016
10	67.47	2.369085953	2.483323994	2.585411619	2.678374121	2.756501642	2.820308902	2.867969971	2.913355589	2.939089153	2.939486799	2.918793043	2.895434686	2.867723654	2.835726165	2.797817149	2.756358562	2.712826026	2.665651134	2.620361562	2.578380497	2.538342987	2.499004428	2.461826543	2.426776512	2.392678833
