%ID	PROTEINA	BandaLogInv1	BandaLogInv2	BandaLogInv3	BandaLogInv4	BandaLogInv5	BandaLogInv6	BandaLogInv7	BandaLogInv8	BandaLogInv9	BandaLogInv10	BandaLogInv11	BandaLogInv12	BandaLogInv13	BandaLogInv14	BandaLogInv15	BandaLogInv16	BandaLogInv17	BandaLogInv18	BandaLogInv19	BandaLogInv20	BandaLogInv21	BandaLogInv22	BandaLogInv23	BandaLogInv24	BandaLogInv25	BandaLogInv107	BandaLogInv108	BandaLogInv109	BandaLogInv110	BandaLogInv111	BandaLogInv112	BandaLogInv113	BandaLogInv114	BandaLogInv115	BandaLogInv116	BandaLogInv117	BandaLogInv118	BandaLogInv119	BandaLogInv120	BandaLogInv121	BandaLogInv122	BandaLogInv123	BandaLogInv124	BandaLogInv125	BandaLogInv126	BandaLogInv127	BandaLogInv128	BandaLogInv129	BandaLogInv130	BandaLogInv131	BandaLogInv132	BandaLogInv133	BandaLogInv134	BandaLogInv135	BandaLogInv136	BandaLogInv137	BandaLogInv138	BandaLogInv139	BandaLogInv140	BandaLogInv169	BandaLogInv170	BandaLogInv171	BandaLogInv172	BandaLogInv173	BandaLogInv174	BandaLogInv175	BandaLogInv176	BandaLogInv177	BandaLogInv178	BandaLogInv179	BandaLogInv180	BandaLogInv181	BandaLogInv182	BandaLogInv183	BandaLogInv184	BandaLogInv185	BandaLogInv186	BandaLogInv187	BandaLogInv188	BandaLogInv189	BandaLogInv190	BandaLogInv191	BandaLogInv192	BandaLogInv193	BandaLogInv194	BandaLogInv224	BandaLogInv225	BandaLogInv226	BandaLogInv227	BandaLogInv228	BandaLogInv229	BandaLogInv230	BandaLogInv231	BandaLogInv232	BandaLogInv233	BandaLogInv234	BandaLogInv235	BandaLogInv236	BandaLogInv237	BandaLogInv238	BandaLogInv239	BandaLogInv240
1	68.46	2.500061047	2.621791989	2.725528197	2.816695997	2.896588252	2.956021308	3.006890086	3.045868281	3.072982125	3.072266941	3.048046627	3.027047966	2.996891251	2.965579843	2.928710335	2.886850318	2.84408914	2.797846897	2.751243615	2.707053502	2.664347776	2.623413597	2.583493981	2.545532879	2.507787166	1.344886344	1.345302062	1.344179044	1.341319385	1.336835393	1.332148609	1.327194352	1.322427989	1.317611893	1.312747177	1.308044166	1.302824457	1.297626088	1.291864671	1.286049581	1.280361554	1.274822129	1.269074119	1.264230887	1.259590554	1.25598951	1.251527703	1.247040722	1.242443653	1.236959612	1.230577507	1.223695795	1.21555723	1.206099298	1.196092714	1.184799872	1.173214101	1.162095359	1.150898887	0.988355531	0.986555399	0.986236989	0.985671127	0.986029602	0.986200856	0.986904015	0.987191167	0.987972224	0.989014432	0.989518948	0.989283054	0.98749859	0.985327834	0.983135519	0.981737727	0.980067425	0.978174013	0.976843532	0.975928495	0.974918125	0.973600402	0.973115908	0.971531386	0.970600516	0.968526202	0.829764813	0.81986942	0.810568038	0.803130242	0.800389619	0.802695305	0.806525088	0.811838271	0.816593726	0.821013383	0.823735561	0.825599115	0.826614117	0.825504031	0.823080305	0.819398411	0.813710128
2	67.75	2.337475954	2.447040379	2.543828148	2.628386464	2.702363357	2.760305364	2.808876786	2.844317881	2.869724004	2.867424348	2.843324853	2.821408324	2.792558485	2.762225239	2.726756066	2.686271878	2.645282301	2.601319936	2.558775049	2.519312651	2.48159456	2.443999014	2.40756397	2.373159957	2.340632277	1.236699086	1.236883593	1.23597164	1.23325583	1.229027873	1.224541194	1.219789087	1.215238987	1.210806628	1.206449039	1.20223798	1.197686342	1.193376199	1.188705097	1.183573501	1.178648775	1.174385393	1.169772551	1.165855491	1.162377285	1.160649586	1.158220116	1.155142016	1.151969549	1.148303764	1.143400696	1.137733392	1.130622675	1.122240652	1.112589464	1.102036806	1.091073456	1.079985389	1.068912648	0.91768632	0.915804542	0.914163356	0.911812247	0.909472205	0.906894277	0.904154931	0.899183106	0.893709833	0.891635304	0.892996041	0.896874941	0.900262186	0.901736249	0.901797727	0.901247767	0.899595921	0.897320108	0.895782765	0.893684773	0.891775739	0.889220729	0.887392572	0.884996405	0.882929502	0.880397426	0.723143015	0.713567849	0.704129857	0.696741781	0.693318893	0.694442545	0.697577531	0.702608802	0.707834728	0.711817285	0.714284735	0.715899283	0.716299974	0.71463554	0.711572725	0.707024343	0.700378044
3	67.77	2.514892357	2.636907896	2.74589897	2.836003932	2.916728159	2.980034128	3.027057606	3.070568316	3.098312325	3.096064665	3.072888844	3.049228525	3.019847816	2.989721698	2.952619707	2.912587066	2.871748206	2.826459061	2.782295776	2.742782909	2.703727612	2.666911237	2.631372654	2.596775744	2.563049193	1.352033419	1.351567785	1.349825377	1.346072287	1.34118386	1.336047256	1.330610827	1.325459005	1.320517969	1.315747362	1.310911498	1.305676767	1.300471053	1.294590628	1.288066325	1.28169087	1.276079012	1.269861875	1.26428811	1.259371961	1.256680563	1.252322698	1.247360337	1.242883811	1.237511646	1.231549509	1.224981328	1.217250276	1.208858488	1.199326503	1.188898782	1.178109028	1.16762183	1.156625001	1.00575719	1.005180992	1.0055565	1.004782751	1.004063808	1.002764146	1.0010001	0.996747519	0.990946568	0.989361078	0.992088216	0.99715774	1.001567242	1.004087865	1.004506064	1.004160368	1.002335869	1.000069195	0.99861792	0.996429504	0.994424315	0.992065701	0.989702374	0.987087521	0.984931443	0.982071234	0.819986703	0.810115362	0.800500664	0.792593773	0.788956752	0.789921746	0.793687647	0.798876193	0.803638293	0.807041447	0.808819862	0.80984575	0.810184454	0.808401752	0.805145102	0.800994012	0.794467327
4	67.59	2.167856636	2.271374666	2.365099194	2.456000938	2.519191858	2.565631335	2.607605989	2.648371105	2.679109856	2.680092036	2.660547947	2.637090219	2.612650548	2.582186195	2.549292402	2.509776734	2.460170487	2.412892973	2.36907754	2.328260138	2.290216199	2.251934984	2.207373359	2.168056681	2.133727871	1.125112325	1.126413972	1.125430339	1.12223396	1.117730384	1.112821272	1.108495601	1.105445021	1.102961083	1.100239825	1.09733398	1.094075687	1.089968096	1.086346691	1.081637132	1.076243286	1.069534705	1.063207103	1.060356474	1.060344851	1.059599077	1.056354572	1.052313951	1.046212493	1.040115217	1.035198269	1.030361393	1.024355692	1.016866084	1.008368879	0.998893376	0.989397316	0.980958909	0.974313281	0.836477361	0.833704208	0.83199554	0.830799807	0.830658327	0.829749331	0.828053135	0.826898264	0.828522832	0.831927524	0.831930123	0.827946089	0.821096438	0.815395146	0.810531869	0.807357418	0.804972886	0.803377701	0.803137973	0.803385185	0.803507427	0.803648194	0.803290144	0.803221412	0.801884242	0.800720499	0.687391578	0.673285995	0.660951862	0.654928687	0.659571565	0.665748441	0.672786383	0.678148255	0.683448043	0.68674257	0.689052823	0.689825196	0.690359439	0.690300881	0.688763686	0.685019223	0.681252809
5	70.18	2.421238929	2.541356493	2.644889554	2.735772326	2.813042248	2.872929851	2.922312175	2.964074315	2.988292618	2.987311463	2.966548737	2.94277117	2.912654309	2.880278378	2.843457752	2.80309935	2.759855928	2.714432043	2.670241281	2.628535378	2.589563503	2.550883021	2.51354694	2.478526732	2.444363447	1.300698293	1.300766496	1.299454248	1.2963746	1.291660637	1.286990663	1.282031191	1.276924693	1.272166527	1.267406649	1.262893457	1.257865263	1.253104817	1.247521775	1.241765655	1.236109388	1.231010633	1.225656075	1.221052943	1.216824142	1.214945732	1.211526365	1.207745013	1.203982432	1.199741471	1.194445407	1.188128787	1.180551413	1.17168957	1.161414507	1.150354685	1.138695942	1.127057741	1.115055991	0.96120088	0.960451729	0.959781956	0.957974386	0.956043793	0.953258876	0.950296602	0.943791996	0.935587163	0.933097557	0.936333582	0.94296925	0.949568873	0.953584854	0.955082231	0.95526699	0.953448586	0.951216318	0.949504177	0.94699991	0.944680322	0.941353511	0.938493001	0.935200365	0.932790687	0.92992359	0.75930732	0.749811387	0.740415758	0.732589692	0.729110567	0.729473971	0.732257053	0.73750719	0.74251889	0.745901214	0.747809224	0.748954273	0.748890012	0.74715708	0.743931325	0.738981955	0.73199237
6	66.72	2.336469094	2.449159781	2.548040527	2.633339967	2.708614406	2.766231654	2.816963772	2.852907195	2.878336824	2.876592795	2.85521374	2.832695644	2.802559838	2.77182878	2.735847403	2.69608314	2.654506601	2.608495259	2.565135096	2.521720082	2.480675522	2.441258975	2.4033259	2.366823567	2.331887844	1.231682868	1.231959391	1.230885974	1.227990235	1.223557374	1.218927025	1.213999607	1.209007401	1.204330326	1.199465192	1.195086483	1.190100534	1.185444823	1.180351676	1.174846661	1.169783008	1.165173732	1.160329961	1.155952359	1.152081735	1.149598187	1.14606578	1.142891369	1.139025559	1.134922399	1.129863595	1.124115509	1.117142306	1.108979134	1.0996853	1.089219615	1.078519047	1.067877763	1.057085115	0.907479676	0.905245378	0.903596455	0.901494211	0.899169545	0.897017816	0.894824407	0.891200502	0.887310607	0.885988521	0.886806368	0.888859735	0.890227514	0.890295144	0.889760144	0.888586405	0.887083141	0.88461611	0.883474286	0.881325985	0.879674174	0.877496046	0.875510642	0.873697836	0.871981339	0.869240068	0.715463766	0.705732625	0.696310087	0.689190526	0.685525759	0.686712367	0.689944171	0.695153718	0.700450579	0.704001197	0.706676399	0.708239065	0.708753938	0.707102808	0.704233042	0.699810132	0.693301767
7	66.79	2.137657908	2.238963973	2.33463875	2.425802886	2.492605072	2.540242116	2.581011013	2.623051637	2.656757913	2.659501682	2.642569761	2.621800796	2.597756657	2.569558006	2.539301773	2.499674655	2.451615896	2.403850925	2.359463944	2.318374402	2.280330211	2.24165731	2.195887112	2.156745071	2.122353264	1.100164818	1.10110921	1.100079257	1.096512881	1.091686229	1.086580896	1.082117609	1.078704805	1.076302833	1.073631708	1.071038205	1.067712883	1.064081443	1.060798672	1.05653616	1.051902043	1.045747838	1.040567859	1.038850394	1.040416142	1.041022018	1.039673035	1.037386092	1.032518481	1.027760843	1.023928054	1.019337541	1.012951069	1.004636496	0.994111561	0.982385236	0.97050252	0.95983682	0.95115963	0.799882919	0.796996317	0.794785827	0.793443053	0.793178123	0.791700434	0.78941115	0.787916233	0.788762677	0.791707586	0.790847275	0.78560776	0.777664334	0.770662773	0.764800694	0.760809163	0.757619008	0.755646516	0.755114985	0.754866726	0.754572115	0.754641743	0.753844862	0.753202741	0.752073815	0.750618449	0.639842465	0.625639052	0.613126889	0.606992166	0.612087624	0.618846724	0.626310602	0.631487078	0.636702251	0.640054382	0.642110175	0.643329692	0.643952247	0.643935617	0.64247918	0.6395217	0.635572382
8	66.17	2.450886011	2.583170367	2.689795478	2.791618604	2.872378845	2.943489296	3.000244689	3.049206004	3.07689777	3.080979631	3.06330993	3.041956412	3.013634741	2.983419887	2.946339115	2.904500938	2.86166601	2.813543477	2.765025963	2.720177752	2.675347322	2.633486575	2.59291441	2.553858451	2.51694376	1.302802002	1.302598108	1.300663252	1.297143751	1.291785107	1.286339987	1.28057346	1.274794483	1.269309541	1.263902239	1.258765006	1.253229569	1.248035244	1.242502984	1.237116811	1.23191245	1.227527541	1.223260285	1.219786044	1.216965272	1.216038225	1.214212746	1.212468783	1.210348908	1.206862042	1.202051978	1.19531799	1.186308236	1.174807178	1.161260724	1.146036904	1.13054166	1.114975445	1.099848348	0.920755071	0.918430074	0.916747815	0.914612273	0.91287667	0.911165822	0.909332228	0.907083925	0.904416422	0.903690891	0.903894332	0.904326381	0.904115419	0.903380521	0.901838513	0.900735831	0.898764674	0.896620618	0.895324545	0.893808772	0.892198523	0.890179936	0.889056302	0.887340075	0.885951842	0.883780602	0.735719147	0.725831548	0.716218148	0.709221734	0.706220079	0.707393675	0.710840743	0.716144196	0.72102313	0.724955146	0.727855312	0.729520695	0.730305325	0.729029536	0.72630576	0.722103255	0.716086199
9	69.95	2.479307111	2.597083671	2.705715732	2.808626367	2.886596206	2.944729303	2.996682233	3.039365018	3.073128161	3.069647869	3.050984985	3.025349888	2.994268561	2.957519764	2.91969836	2.878071718	2.827099452	2.777807785	2.730646659	2.685793006	2.643528368	2.601468009	2.556124972	2.51644574	2.479898016	1.332451852	1.333531704	1.332829561	1.329477315	1.324679443	1.319352694	1.31426898	1.310076077	1.305923836	1.301644597	1.296845879	1.291406053	1.285610171	1.2800058	1.273417461	1.266546177	1.258907981	1.251406518	1.246040781	1.242600567	1.238506046	1.232701905	1.226877678	1.219345801	1.212373047	1.205692297	1.198733706	1.191209622	1.18259051	1.173211261	1.16263871	1.152078948	1.142394245	1.133508532	0.987401869	0.986794197	0.986839465	0.986774136	0.986755622	0.986608222	0.985452999	0.982633389	0.979952127	0.982234927	0.985935187	0.988547568	0.988921963	0.988474388	0.98671418	0.985545334	0.984211378	0.982913852	0.982116051	0.98094265	0.979541078	0.978326345	0.97588559	0.974659213	0.973344936	0.971640344	0.82763704	0.814819893	0.803444446	0.797671219	0.798760988	0.801172019	0.807512265	0.813471179	0.818622542	0.821681784	0.823642484	0.823990619	0.824315278	0.82309615	0.820078321	0.814953348	0.809193985
10	67.47	2.369085953	2.483323994	2.585411619	2.678374121	2.756501642	2.820308902	2.867969971	2.913355589	2.939089153	2.939486799	2.918793043	2.895434686	2.867723654	2.835726165	2.797817149	2.756358562	2.712826026	2.665651134	2.620361562	2.578380497	2.538342987	2.499004428	2.461826543	2.426776512	2.392678833	1.265279146	1.265277159	1.263961245	1.260772943	1.256092949	1.251339647	1.246302709	1.241043378	1.236271264	1.231512953	1.226836433	1.222010329	1.217456085	1.212098326	1.206728796	1.201374052	1.196852131	1.192032328	1.187809778	1.183941422	1.182579044	1.179492999	1.176208566	1.173042561	1.169702368	1.164852269	1.158996426	1.152055558	1.143788472	1.134426853	1.123846501	1.113079973	1.102079005	1.090712931	0.953354923	0.952812463	0.952390155	0.950489057	0.948103065	0.945430711	0.942028595	0.935062356	0.926476071	0.923353737	0.926866937	0.934254074	0.941599414	0.946455851	0.948555366	0.949050019	0.947814728	0.945530655	0.943841607	0.941270196	0.938953983	0.935531648	0.932471932	0.929010367	0.926955037	0.924000398	0.752009539	0.742663593	0.733249245	0.725982488	0.721998585	0.721860397	0.724481706	0.729705997	0.734871066	0.73824277	0.740107985	0.741379409	0.74113404	0.739367131	0.736144656	0.730822508	0.723619265
